freq,duration,purpose,c_dest,wstatus,unit,geo	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,N1-3,PER,EU27_2020_FOR,ACT_INAC,NR,DK	: 	: 	: 	: 	: 	: 	: 	: 	1619008 	1743059 	2607924 	2974512 	5008044 
A,N1-3,PER,EU27_2020_FOR,ACT_INAC,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	280140 	231909 	696483 	864684 	764383 
A,N1-3,PER,EU27_2020_FOR,ACT_INAC,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	64245 u	110360 u	232280 	224605 	415747 
A,N1-3,PER,EU27_2020_FOR,ACT_INAC,NR,ES	: 	: 	: 	: 	: 	: 	: 	: 	2339469 	2966533 	6494565 	7214176 	9294764 
A,N1-3,PER,EU27_2020_FOR,ACT_INAC,NR,FI	: 	: 	: 	: 	: 	: 	: 	: 	1569511 	974016 	3150172 	4339510 	4550330 
A,N1-3,PER,EU27_2020_FOR,ACT_INAC,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	4616454 	4848033 	11692437 	14897128 	13920147 
A,N1-3,PER,EU27_2020_FOR,ACT_INAC,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	198405 	245186 	727348 	1096543 	1349224 
A,N1-3,PER,EU27_2020_FOR,ACT_INAC,NR,HU	: 	: 	: 	: 	: 	: 	: 	: 	1947902 	1726010 	3571340 	3957852 	3524772 
A,N1-3,PER,EU27_2020_FOR,ACT_INAC,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	609435 	303940 u	1944192 	2551325 	3596715 
A,N1-3,PER,EU27_2020_FOR,ACT_INAC,NR,IT	: 	: 	: 	: 	: 	: 	: 	: 	1300319 	1213428 	3169627 	3351421 	4171179 
A,N1-3,PER,EU27_2020_FOR,ACT_INAC,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	230129 	319176 	472350 	594706 	673704 
A,N1-3,PER,EU27_2020_FOR,ACT_INAC,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	843076 	1064589 	1642639 	1865131 	1785541 
A,N1-3,PER,EU27_2020_FOR,ACT_INAC,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	323660 	291390 	841396 	1005938 	1050291 
A,N1-3,PER,EU27_2020_FOR,ACT_INAC,NR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: u	44265 u	: 	: 	: 
A,N1-3,PER,EU27_2020_FOR,ACT_INAC,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	110754 	143129 	298068 	380081 	401471 
A,N1-3,PER,EU27_2020_FOR,ACT_INAC,NR,NL	: 	: 	: 	: 	: 	: 	: 	: 	2603412 	5269606 	10544476 	11523442 	11111275 
A,N1-3,PER,EU27_2020_FOR,ACT_INAC,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	1031539 	4128093 	3817432 	4950601 
A,N1-3,PER,EU27_2020_FOR,ACT_INAC,NR,PL	: 	: 	: 	: 	: 	: 	: 	: 	1908840 	2206426 	4067357 	4416175 	5094948 
A,N1-3,PER,EU27_2020_FOR,ACT_INAC,NR,PT	: 	: 	: 	: 	: 	: 	: 	: 	292607 	342447 	1110333 	1622609 	1285594 
A,N1-3,PER,EU27_2020_FOR,ACT_INAC,NR,RO	: 	: 	: 	: 	: 	: 	: 	: 	109590 u	157320 u	376583 	527519 	737954 
A,N1-3,PER,EU27_2020_FOR,ACT_INAC,NR,SE	: 	: 	: 	: 	: 	: 	: 	: 	1620851 	2142350 	5566660 	: 	6907978 
A,N1-3,PER,EU27_2020_FOR,ACT_INAC,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	821593 	1341965 	1953976 	2816158 	3373093 
A,N1-3,PER,EU27_2020_FOR,ACT_INAC,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	818233 	892031 	2453781 	3033562 	3437912 
A,N1-3,PER,EU27_2020_FOR,EDUC,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,N1-3,PER,EU27_2020_FOR,EDUC,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	249919 	396783 	1496579 	1131007 	1214693 
